CustomerId,CustomerCode,CustomerName,AreaName,IndustryName,OrderNumber,OrderDate,ProductCode,ProductName,Length
1662,GEORGR,GEORGE GRANT ENGINEERING LTD,AUCKLAND SOUTH,STEEL FABRICATORS,1086081,2013-12-16 15:48:39.167,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1662,GEORGR,GEORGE GRANT ENGINEERING LTD,AUCKLAND SOUTH,STEEL FABRICATORS,1093839,2014-01-29 14:09:07.887,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1662,GEORGR,GEORGE GRANT ENGINEERING LTD,AUCKLAND SOUTH,STEEL FABRICATORS,1132027,2014-06-05 17:53:39.143,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1662,GEORGR,GEORGE GRANT ENGINEERING LTD,AUCKLAND SOUTH,STEEL FABRICATORS,1147064,2014-07-22 11:25:19.037,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1662,GEORGR,GEORGE GRANT ENGINEERING LTD,AUCKLAND SOUTH,STEEL FABRICATORS,1149377,2014-07-29 13:06:57.077,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1662,GEORGR,GEORGE GRANT ENGINEERING LTD,AUCKLAND SOUTH,STEEL FABRICATORS,1151132,2014-08-04 13:28:11.067,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1662,GEORGR,GEORGE GRANT ENGINEERING LTD,AUCKLAND SOUTH,STEEL FABRICATORS,1219220,2015-03-10 13:08:50.300,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1662,GEORGR,GEORGE GRANT ENGINEERING LTD,AUCKLAND SOUTH,STEEL FABRICATORS,1243741,2015-05-13 00:00:39.900,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1662,GEORGR,GEORGE GRANT ENGINEERING LTD,AUCKLAND SOUTH,STEEL FABRICATORS,1273362,2015-07-22 00:00:32.093,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1059,CULHEN,CULHAM ENGINEERING COMPANY LTD,NORTHLAND,STEEL FABRICATORS,1295113,2015-09-11 13:09:48.193,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1059,CULHEN,CULHAM ENGINEERING COMPANY LTD,NORTHLAND,STEEL FABRICATORS,1295113,2015-09-11 13:09:48.193,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1059,CULHEN,CULHAM ENGINEERING COMPANY LTD,NORTHLAND,STEEL FABRICATORS,1295113,2015-09-11 13:09:48.193,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1059,CULHEN,CULHAM ENGINEERING COMPANY LTD,NORTHLAND,STEEL FABRICATORS,1295113,2015-09-11 13:09:48.193,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
1059,CULHEN,CULHAM ENGINEERING COMPANY LTD,NORTHLAND,STEEL FABRICATORS,1297146,2015-09-21 15:04:04.440,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
6372,WARRAU,WARREN AUGER BINS (NZ) LIMITED,MATAMATA-TIRAU,MANUFACTURERS,2142260,2020-07-09 14:45:50.600,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
6372,WARRAU,WARREN AUGER BINS (NZ) LIMITED,MATAMATA-TIRAU,MANUFACTURERS,2142260,2020-07-09 14:45:50.600,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
6372,WARRAU,WARREN AUGER BINS (NZ) LIMITED,MATAMATA-TIRAU,MANUFACTURERS,2142261,2020-07-09 13:52:11.767,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
6372,WARRAU,WARREN AUGER BINS (NZ) LIMITED,MATAMATA-TIRAU,MANUFACTURERS,2142261,2020-07-09 13:52:11.767,PM010+24004500,PLATE MEDIUM TENSILE GR350,1
